x,y
0.00,39.46
1.00,40.77
2.00,42.08
3.00,43.39
4.00,44.70
5.00,46.01
6.00,47.32
7.00,48.63
8.00,49.94
9.00,51.25
10.00,52.56
11.00,53.87
12.00,55.18
13.00,56.49
14.00,57.80
15.00,59.11
16.00,60.42
17.00,61.73
18.00,63.04
19.00,64.35
20.00,65.66
21.00,66.97
22.00,68.28
23.00,69.59
24.00,70.90
25.00,72.21
26.00,73.52
27.00,74.83
28.00,76.14
29.00,77.45
30.00,78.76
31.00,80.07
32.00,81.38
33.00,82.69
34.00,84.00
35.00,85.31
36.00,86.62
37.00,87.93
38.00,89.24
39.00,90.55
40.00,91.86
41.00,93.17
42.00,94.48
43.00,95.79
44.00,97.10
45.00,98.41
46.00,99.72
47.00,101.03
48.00,102.34
49.00,103.65
50.00,104.96
51.00,106.27
52.00,107.58
53.00,108.89
54.00,110.20
55.00,111.51
56.00,112.82
57.00,114.13
58.00,115.44
59.00,116.75
60.00,118.06
61.00,119.37
62.00,120.68
63.00,121.99
64.00,123.30
65.00,124.61
66.00,125.92
67.00,127.23
68.00,128.54
69.00,129.85
70.00,131.16
71.00,132.47
72.00,133.78
73.00,135.09
74.00,136.40
75.00,137.71
76.00,139.02
77.00,140.33
78.00,141.64
79.00,142.95
80.00,144.26
81.00,145.57
82.00,146.88
83.00,148.19
84.00,149.50
85.00,150.81
86.00,152.12
87.00,153.43
88.00,154.74
89.00,156.05
90.00,157.36
91.00,158.67
92.00,159.98
93.00,161.29
94.00,162.60
95.00,163.91
96.00,165.22
97.00,166.53
98.00,167.84
99.00,169.15
