x,y
0.00,30.00
1.00,32.30
2.00,34.60
3.00,36.90
4.00,39.20
5.00,41.50
6.00,43.80
7.00,46.10
8.00,48.40
9.00,50.70
10.00,53.00
11.00,55.30
12.00,57.60
13.00,59.90
14.00,62.20
15.00,64.50
16.00,66.80
17.00,69.10
18.00,71.40
19.00,73.70
20.00,76.00
21.00,78.30
22.00,80.60
23.00,82.90
24.00,85.20
25.00,87.50
26.00,89.80
27.00,92.10
28.00,94.40
29.00,96.70
30.00,99.00
31.00,101.30
32.00,103.60
33.00,105.90
34.00,108.20
35.00,110.50
36.00,112.80
37.00,115.10
38.00,117.40
39.00,119.70
40.00,122.00
41.00,124.30
42.00,126.60
43.00,128.90
44.00,131.20
45.00,133.50
46.00,135.80
47.00,138.10
48.00,140.40
49.00,142.70
50.00,145.00
51.00,147.30
52.00,149.60
53.00,151.90
54.00,154.20
55.00,156.50
56.00,158.80
57.00,161.10
58.00,163.40
59.00,165.70
60.00,168.00
61.00,170.30
62.00,172.60
63.00,174.90
64.00,177.20
65.00,179.50
66.00,181.80
67.00,184.10
68.00,186.40
69.00,188.70
70.00,191.00
71.00,193.30
72.00,195.60
73.00,197.90
74.00,200.20
75.00,202.50
76.00,204.80
77.00,207.10
78.00,209.40
79.00,211.70
80.00,214.00
81.00,216.30
82.00,218.60
83.00,220.90
84.00,223.20
85.00,225.50
86.00,227.80
87.00,230.10
88.00,232.40
89.00,234.70
90.00,237.00
91.00,239.30
92.00,241.60
93.00,243.90
94.00,246.20
95.00,248.50
96.00,250.80
97.00,253.10
98.00,255.40
99.00,257.70
