x,y
0.00,30.00
1.00,31.00
2.00,32.00
3.00,33.00
4.00,34.00
5.00,35.00
6.00,36.00
7.00,37.00
8.00,38.00
9.00,39.00
10.00,40.00
11.00,41.00
12.00,42.00
13.00,43.00
14.00,44.00
15.00,45.00
16.00,46.00
17.00,47.00
18.00,48.00
19.00,49.00
20.00,50.00
21.00,51.00
22.00,52.00
23.00,53.00
24.00,54.00
25.00,55.00
26.00,56.00
27.00,57.00
28.00,58.00
29.00,59.00
30.00,60.00
31.00,61.00
32.00,62.00
33.00,63.00
34.00,64.00
35.00,65.00
36.00,66.00
37.00,67.00
38.00,68.00
39.00,69.00
40.00,70.00
41.00,71.00
42.00,72.00
43.00,73.00
44.00,74.00
45.00,75.00
46.00,76.00
47.00,77.00
48.00,78.00
49.00,79.00
50.00,80.00
51.00,81.00
52.00,82.00
53.00,83.00
54.00,84.00
55.00,85.00
56.00,86.00
57.00,87.00
58.00,88.00
59.00,89.00
60.00,90.00
61.00,91.00
62.00,92.00
63.00,93.00
64.00,94.00
65.00,95.00
66.00,96.00
67.00,97.00
68.00,98.00
69.00,99.00
70.00,100.00
71.00,101.00
72.00,102.00
73.00,103.00
74.00,104.00
75.00,105.00
76.00,106.00
77.00,107.00
78.00,108.00
79.00,109.00
80.00,110.00
81.00,111.00
82.00,112.00
83.00,113.00
84.00,114.00
85.00,115.00
86.00,116.00
87.00,117.00
88.00,118.00
89.00,119.00
90.00,120.00
91.00,121.00
92.00,122.00
93.00,123.00
94.00,124.00
95.00,125.00
96.00,126.00
97.00,127.00
98.00,128.00
99.00,129.00
