x,y
0.00,22.00
1.00,23.00
2.00,24.00
3.00,25.00
4.00,26.00
5.00,27.00
6.00,28.00
7.00,29.00
8.00,30.00
9.00,31.00
10.00,32.00
11.00,33.00
12.00,34.00
13.00,35.00
14.00,36.00
15.00,37.00
16.00,38.00
17.00,39.00
18.00,40.00
19.00,41.00
20.00,42.00
21.00,43.00
22.00,44.00
23.00,45.00
24.00,46.00
25.00,47.00
26.00,48.00
27.00,49.00
28.00,50.00
29.00,51.00
30.00,52.00
31.00,53.00
32.00,54.00
33.00,55.00
34.00,56.00
35.00,57.00
36.00,58.00
37.00,59.00
38.00,60.00
39.00,61.00
40.00,62.00
41.00,63.00
42.00,64.00
43.00,65.00
44.00,66.00
45.00,67.00
46.00,68.00
47.00,69.00
48.00,70.00
49.00,71.00
50.00,72.00
51.00,73.00
52.00,74.00
53.00,75.00
54.00,76.00
55.00,77.00
56.00,78.00
57.00,79.00
58.00,80.00
59.00,81.00
60.00,82.00
61.00,83.00
62.00,84.00
63.00,85.00
64.00,86.00
65.00,87.00
66.00,88.00
67.00,89.00
68.00,90.00
69.00,91.00
70.00,92.00
71.00,93.00
72.00,94.00
73.00,95.00
74.00,96.00
75.00,97.00
76.00,98.00
77.00,99.00
78.00,100.00
79.00,101.00
80.00,102.00
81.00,103.00
82.00,104.00
83.00,105.00
84.00,106.00
85.00,107.00
86.00,108.00
87.00,109.00
88.00,110.00
89.00,111.00
90.00,112.00
91.00,113.00
92.00,114.00
93.00,115.00
94.00,116.00
95.00,117.00
96.00,118.00
97.00,119.00
98.00,120.00
99.00,121.00
